Name,Price,Rating
Jabra Elite 75t With Active Noise Cancellation enabled ...,"₹11,999",4.1
PTron InTunes Beats Bluetooth Headset,₹836,4.1
boAt Bassheads 100 Wired Headset,₹329,4.3
boAt Airdopes 131 Bluetooth Headset,"₹1,299",4
boAt Bassheads 103 Black Wired Headset,₹399,4.3
boAt Rockerz 450 with Upto 15 Hours Playback Bluetooth ...,"₹1,099",4.3
boAt Stone 350 10 W Bluetooth Speaker,"₹1,499",4.3
JBL C150SI Wired Headset,₹649,4.2
Noise Buds VS102 Truly Wireless Bluetooth Headset,"₹1,282",4.1
realme Buds 2 Wired Headset,₹599,4.3
boAt BassHeads 900 Wired Headset,₹699,4.4
boAt Rockerz 235v2 with ASAP charging Version 5.0 Bluet...,"₹1,199",4.2
Mi Basic Wired Headset with Mic,₹429,4.3
OnePlus Bullets Wireless Z Bass Edition Bluetooth Heads...,"₹1,999",4.3
U&I Titanic Series - Low Price Bluetooth Neckband Bluet...,₹499,4
boAt Rockerz 255F Pro with Fast Charging Bluetooth Head...,"₹1,299",4.2
realme Buds Q2 Neo with Environment Noise Cancellation ...,"₹1,599",4
boAt Bassheads 242 Wired Headset,₹474,4.3
Truke Buds S1 Bluetooth Headset,"₹1,499",4
realme Buds Wireless 2 with Dart Charge and Active Nois...,"₹2,299",4.1
boAt Rockerz 370 Bluetooth Headset,"₹1,184",4.2
ZEBRONICS ZEB-WARRIOR 10 W Laptop/Desktop Speaker,₹699,4.2
Boult Audio ProBass Curve Neckband Bluetooth Headset,₹999,4
boAt BassHeads 182 Wired Headset,₹490,4.3
DIZO by realme TechLife Wireless Bluetooth Headset,"₹1,299",4.3
boAt Bassheads 220 Wired Headset,₹537,4.2
boAt Stone 1000 14 W Portable Bluetooth Speaker,"₹2,499",4.4
boAt Rockerz 510 Super Extra Bass Bluetooth Headset,"₹1,599",4.4
ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Home Audio Speak...,"₹1,499",4.1
boAt Rockerz 255F Bluetooth Headset,"₹1,296",4.2
INFINITY (JBL) Glide N120 Bluetooth Headset,"₹1,461",4.1
REDMI SonicBass Neckband Bluetooth Headset,"₹1,299",4.1
boAt Stone 190F 5 W Bluetooth Speaker,₹999,4.4
Mivi Roam2 5 W Bluetooth Speaker,"₹1,099",4.3
ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Home Audio Speak...,"₹1,490",4.1
DIZO by realme TechLife GoPods D with Environment Noise...,"₹1,299",4
Mi TV Stick with Built in Chromecast,"₹2,999",4.1
boAt BassHeads 172 Wired Headset,₹499,4.3
Boult Audio Bass Bud Q2 Wired Headset,₹599,4.1
SONY SA-D40 80 W Bluetooth Home Theatre,"₹8,400",4.4
boAt Rockerz 255 Bluetooth Headset,"₹1,299",4.2
JBL Flip Essential IPX7 Waterproof 16 W Bluetooth Speak...,"₹5,471",4.5
Mi Dual Driver Wired Headset,₹647,4.2
DIZO by realme TechLife GoPods D with Environment Noise...,"₹1,299",4
ZEBRONICS BT4440 RUCF 60 Watt Bluetooth Home Theatre,"₹3,299",4.1
boAt Aavante Bar 1200 80 W Bluetooth Soundbar,"₹6,499",4.4
Redmi by Mi Hi-Resolution Audio Wired Headset,₹399,4.2
DIZO by realme TechLife Wireless Bluetooth Headset,"₹1,299",4.3
Portronics Harmonics 222 Bluetooth Headset,₹749,4.1
PHILIPS MMS8085B/94 Convertible 80 W Bluetooth Home The...,"₹6,999",4.2
Mi Outdoor 5 W Bluetooth Speaker,"₹1,499",4.2
U&I Titanic Series - Low Price Bluetooth Neckband Bluet...,₹499,4
boAt Aavante Bar 2000 160 W Bluetooth Soundbar,"₹9,665",4.4
boAt PartyPal 60 20 W Bluetooth Party Speaker,"₹4,499",4.4
boAt Stone Grenade 5 W Portable Bluetooth Speaker,"₹1,329",4.2
Mivi Roam2 5 W Bluetooth Speaker,"₹1,099",4.3
Mi Box 4k Media Streaming Device,"₹3,999",4.4
Philips BT40 Portable Bluetooth Speaker,"₹1,099",4.3
Soundcore by Anker R100 Fast charging TWS with 25 hours...,"₹1,954",4.2
Jabra Elite 75t With Active Noise Cancellation enabled ...,"₹11,999",4.1
PHILIPS SPA8140B/94 38 W Bluetooth Home Theatre,"₹4,890",4.1
Noise Nerve Neckband Bluetooth Headset,₹999,4.1
OnePlus Buds Bluetooth Headset,"₹4,990",4.1
PTron InTunes Beats Bluetooth Headset,₹836,4.1
PHILIPS SPA8000B/94 120 W Bluetooth Home Theatre,"₹8,500",4.1
SONY 310AP Wired Headset,₹849,4.2
Boult Audio Thunder Bluetooth Headset,₹999,4.1
SONY WH-CH510 Google Assistant enabled Bluetooth Headse...,"₹2,990",4.1
Soundcore by Anker Life Q10 with Fast Charging Bluetoot...,"₹2,499",4.4
SONY ZX110A Wired without Mic Headset,₹549,4.1
boAt Aavante Bar 1550 120 W Bluetooth Soundbar,"₹8,202",4.4
ZEBRONICS INDIE 105 W Bluetooth Home Theatre,"₹5,899",4.2
realme Buds Wireless Bluetooth Headset,"₹1,799",4.2
Mivi Play 5 W Portable Bluetooth Speaker,₹899,4.3
boAt AAVANTE BAR 1150 60 W Bluetooth Soundbar,"₹4,499",4.2
F&D 203G 11 W Portable Laptop/Desktop Speaker,"₹1,790",4.2
JBL GO2 Portable Bluetooth Speaker,"₹2,299",4.4
JBL T450BT Extra Bass Bluetooth Headset,"₹2,499",4.2
APPLE Airpods Pro With Wireless Charging Case Active no...,"₹20,900",4.5
PHILIPS SPA4040B/94 45 W Bluetooth Home Theatre,"₹4,999",4.1
F&D F 3800X 80 W Bluetooth Home Theatre,"₹6,499",4.2
boAt Rugby 10 W Portable Bluetooth Speaker,"₹1,499",4.2
boAt Rockerz 400 Bluetooth Headset,"₹1,499",4.3
DIZO by realme TechLife GoPods D with Environment Noise...,"₹1,299",4
INFINITY by Harman Fuze 99 4.5 W Bluetooth Speaker,"₹1,299",4
ZEBRONICS Zeb-Bronze 2 40 W Bluetooth Laptop/Desktop Sp...,"₹2,761",4.1
