Name,Price,Specifications,Rating
HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/1 TB...,"₹49,990","15.6 inch, Black, 2.04 kg",4.2
HP 15s Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 H...,"₹55,990","15.6 inch, Natural Silver, 1.69 kg, With MS Office",4.1
Mi TV Stick with Built in Chromecast,"₹2,799",Black,4.1
SAMSUNG EVO Plus 64 GB SD Card Class 10 95 MB/s  Memory...,₹679,With Adapter,4.4
mobspy 3.5mm Clip Microphone For Youtube | Collar Mic f...,₹143,Black,3.4
Sandisk Cruzer Blade 32 GB,₹399,"Black, Red",4.3
DELL MS 116 Wired Optical Mouse,₹303,"USB, Black",4.3
Syska Power Wheel 3  Socket Extension Boards,₹229,"Grey, White",4.3
SAMSUNG EVO Plus 32 GB SD Card Class 10 95 MB/s  Memory...,₹419,With Adapter,4.4
Mi Box 4k Media Streaming Device,"₹3,499",Black,4.4
Worricow Best Quality Sports Stereo Sound Bluetooth hea...,₹319,"Black, 0 Display",3.7
ANCHOR Anchor 5219 3  Socket Extension Boards,₹199,White,4.3
SanDisk SDCZ50-064g-I35 /SDCZ50-064g-B35 64 GB Pen Driv...,₹629,"Black, Red",4.2
HP 15s Core i3 11th Gen - (8 GB/1 TB HDD/Windows 10 Hom...,"₹38,490","15.6 inches, Jet Black, 1.77 Kg, With MS Office",4.2
SanDisk Ultra Dual Drive M3.0 32 GB OTG Drive,₹499,"Black, Type A to Micro USB",4.3
"carexo Clip on Collar Tie Pocket For Voice Recording, Y...",₹125,Black,3.6
HP V22OW 64 GB Pen Drive 64 GB Pen Drive,₹495,"Black, Silver",3.8
SAMSUNG EVO Plus 128 GB SD Card Class 10 95 MB/s  Memor...,"₹1,339",With Adapter,4.4
Tata Sky 100% Original Universal (Works With All Tv) NO...,₹180,Black,4
HP 15 Ryzen 3 Dual Core 3200U - (4 GB/1 TB HDD/Windows ...,"₹31,490","15.6 inch, Natural Silver, 1.9 kg, With MS Office",4
SanDisk 2 32 GB MicroSDHC Class 4 4 MB/s  Memory Card,₹386,"15.6 inch, Natural Silver, 1.9 kg, With MS Office",4
V-Guard VG 400 for 1.5 Ton A.C (170V To 270V) Voltage S...,"₹1,685",Grey,4.2
techobucks stereo High bass Sound Bluetooth headphone N...,₹309,"Black, 0 Display",3.7
HP 15s Ryzen 3 Dual Core 3250U - (4 GB/1 TB HDD/Windows...,"₹31,900","15.6 inch, Jet Black, 1.76 kg, With MS Office",4
ANCHOR 5208 3  Socket Extension Boards,₹169,White,4.2
HP 680 Black Ink Cartridge,₹792,White,4.2
HP U1 32 GB MicroSDXC Class 10 100 MB/s  Memory Card,₹409,White,4.2
DELL KM117 Wireless Laptop Keyboard,"₹1,329",Black,4.4
Airtel Universal Digital Tv DTH 100% Original HD Record...,₹177,Black,4
HP 14s Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 H...,"₹37,990","14 inch, Jet Black, 1.46 kg, With MS Office",4.2
Logitech M90 Wired Optical Mouse,₹299,"USB, Black",4.4
TP-Link TL-WN725N Wi-Fi Receiver 150 Mbps Wireless Nano...,₹499,Black,4.4
HP x1000 Wired Optical Mouse,₹349,"USB 2.0, Black",4.3
LUMINOUS Power backup 360 Watt 600VA UPS -PRO UPS,"₹2,499","USB 2.0, Black",4.3
Syska 4 Way power strip 4  Socket Extension Boards,₹429,Grey,4.3
Grostar TWS A6S ear buds True Wireless Earbuds A6S Blue...,₹749,"Black, 0 Display",4
Trendzcase Tempered Glass Guard for Honor Pad 5 8 inch,₹279,Pack of 1,4.1
TP-Link Archer C20 AC Wireless Dual Band 750 Mbps Route...,"₹1,499","Blue, Dual Band",4.3
AZACUS HBS-730 Neckband Bluetooth Headphones Wireless S...,₹299,"Black, 0 Display",3.6
DELL Inspiron Core i5 10th Gen - (8 GB/512 GB SSD/Windo...,"₹61,490","14 inch, Pebble, 1.43 kg, With MS Office",4.4
