Name,Price,Rating
Elica WDFL 606 HAC MS NERO Auto Clean Wall Mounted Chim...,"₹11,990",4.1
Natraj Aatamaker Viva Atta Chakki Fully Automatic Domes...,"₹16,990",4.1
Pigeon Favourite Electric Kettle,₹650,4.2
"Butterfly Arrow 500 W Mixer Grinder (3 Jars, Grey)","₹1,898",4
"Lifelong LLCMB02 500 W Mixer Grinder (White, 3 Jars) & ...","₹1,699",4
varada Air Fryer Over 12Liter Air Fryer,"₹9,999",5
Prestige Atlas 1.8 Electric Kettle,₹998,4.1
Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bot...,₹824,4.3
Bajaj GX1 500 W Mixer Grinder,"₹2,198",4.2
Prestige Atlas 1.5 Electric Kettle,₹898,4.1
Pigeon Favourite IC 1800 W Induction Cooktop,"₹1,700",4.1
varada VA-AFD6.5L BLACK Air Fryer,"₹5,899",4.5
"Prestige Plus Atlas 750 W Juicer Mixer Grinder (4 Jars,...","₹3,248",4.1
"Lifelong Duos - LLMG92 500 Mixer Grinder (2 Jars, Grey)","₹1,329",4.1
"Butterfly Plus Rapid 750 W Mixer Grinder (5 Jars, Ink B...","₹3,698",4.3
Panasonic 20 L Grill Microwave Oven,"₹7,890",4.4
CAPITAL HUB Digital Kitchen Weighing Machine Multipurpo...,₹245,3.9
"Butterfly Rapid 750 W Juicer Mixer Grinder (4 Jars, Bla...","₹3,198",4.1
"EVEREADY MG500i 500 W Mixer Grinder (3 Jars, White)","₹1,600",4.2
Panasonic 20 L Solo Microwave Oven,"₹5,090",4.3
KENT 16055 Electric Kettle,"₹1,051",4.3
Panasonic 20 L Solo Microwave Oven,"₹5,690",4.3
"USHA SN500 MX3 Spin Pro 500 W Mixer Grinder (3 Jars, Mu...","₹2,300",4.2
Glun 50 kg Hook Type Digital Led Screen Portable Luggag...,₹299,4
Singer Aroma(SKT 180 ASE) Electric Kettle,₹900,4.2
Prestige PIC 20.0 1600 W Induction Cooktop,"₹1,898",4.2
Fabiano FAB-MG-03 Tulip 500 Watts Mixer Grinder (3 Jars...,"₹1,448",4
Elica 60 cm 1100 m3/hr Auto Clean Wall Mounted Chimney,"₹14,999",4.1
"BAJAJ Gx8 GX8 750 W Mixer Grinder (3 Jars, White)","₹3,199",4.3
"Longway - Pluto 600 Mixer Grinder (3 Jars, White & Blue...","₹1,499",4.1
Butterfly Rapid Electric Kettle,₹785,4.2
"BAJAJ Pluto 3 Jar 500 W Mixer Grinder (3 Jars, White, B...","₹2,198",4.2
cello Grind - N - Mix IMPERIA Imperia 750 Juicer Mixer ...,"₹2,500",4.4
Lifelong Power Pro - LLMG20 500 W Mixer Grinder (3 Jars...,"₹1,548",4
"Prestige Flash Atlas 500 W Mixer Grinder (3 Jars, White...","₹2,101",4.2
"Geek Robocook Glam Smart Rice Cooker, Electric Pressure...","₹5,099",3.8
DeltaT Double Layer Electric Egg Boiler -EGG Egg Cooker...,₹382,4.1
