Name,Price,Specifications,Rating
FACES CANADA Splash Nail Enamel (Pack of 2) Marooned & ...,₹130,Pack of 2,4.3
FACES CANADA Magneteyes Eyeliner 3.5 ml,₹187,DEEP BLACK,4.2
Lakmé Eyeconic Kajal Pencil,₹160,"Deep Black, 0.35 g",4.4
Lakmé Radiance Complexion Compact,₹126,"Natural Coral, 9 g",4.3
Lakmé Sun Expert Ultra Matte SPF 40 PA+++ Compact,₹198,"Beige, 7 g",4.3
Lakmé Radiance Complexion  Compact,₹132,"Pearl, 9 g",4.3
Lakmé Eyeconic Kajal Twin Pack,₹262,"Deep Black, 0.7 g",4.4
Lakmé 9 to 5 Complexion Care Face Cream - Beige Foundat...,₹220,"Beige, 30 g",4.3
MAYBELLINE NEW YORK Colossal Eyeliner 3 ml,₹198,Bold Black,4.3
Lakmé 9 to 5 Naturale Aloe Aqua Gel Primer  - 50 g,₹159,Transparent,4.3
MAYBELLINE NEW YORK Hypercurl Mascara Waterproof 9.2 ml,₹273,Black,4.2
Lakmé Rose Face Powder Compact,₹144,"Warm Pink, 40 g",4.3
MAYBELLINE NEW YORK Colossal Kajal Promo,₹221,"Black, 0.7 g",4.5
FACES CANADA Core range Compact,₹159,"Ivory 01, 9 g",4.3
Lakmé 9 to 5 Complexion Care Face Cream - Bronze Founda...,₹220,"Bronze, 30 g",4.3
Lakmé Perfecting Liquid Foundation,₹130,"Natural Shell, 27 ml",4.3
NIVEA Essential Care Lip Balm Crme,₹140,"Pack of: 2, 9.6 g",4.5
MAYBELLINE NEW YORK Sara's Eye Makeup Favourites ( Colo...,₹488,"Black, 144.3 g",4.5
Wet n Wild Ultimate Brow Kit - 2.5 g,₹218,Ash Brown,4.5
Lakmé Color Crush Nailart 6 ml,₹131,G9,4.2
MAYBELLINE NEW YORK Baby Lips Cherry Kiss & Berry crush,₹210,"Pack of: 2, 31.2 g",4.4
Lakmé Forever Matte Liquid Lip Colour -,₹221,"Red Revival, 5.6 ml",4.1
Lakmé Eyeconic Insta Cool Kajal,₹190,"Black, 0.35 g",4.4
FACES CANADA Core range Compact,₹148,"Sand 04, 9 g",4.2
NIVEA Cherry Fruity Shine Lip Balm Cherry,₹185,"Pack of: 2, 9.6 g",4.4
MAYBELLINE NEW YORK Fit Me Matte+Poreless Liquid Tube F...,₹239,"115 Ivory, 18 ml",4.1
Lakmé Perfect Radiance Compact,₹157,"Ivory Fair 01, 8 g",4.2
Wet n Wild MegaGlo Highlighting Powder Highlighter,₹273,Precious Petals,4.3
Lakmé Insta Eye Liner 9 ml,₹117,Black,4.2
FACES CANADA Core range Compact,₹159,"Natural 02, 9 g",4.3
MAYBELLINE NEW YORK Fit Me Matte+Poreless Liquid Tube F...,₹250,"128 Warm Nude, 18 ml",4.1
FIRSTZON balm super matte lipstick combo pack of 12 sup...,₹199,"multicolor, 3 g",4
Renee Fab 5 (5 in 1) Lipstick,₹569,"Multicolor, 7.5 g",4.3
FACES CANADA Magneteyes Kajal,₹143,"deep black finish, 0.35 g",4.2
SWISS BEAUTY Long lasting Natural Makeup Fixer with Alo...,₹224,Transparent,4.1
"MAYBELLINE NEW YORK Fit Me Compact Powder - 128, 8 g (P...",₹278,"Shade 128, 8 g",4.3
"MAYBELLINE NEW YORK Fit Me Shade 220 Compact Powder, 8g...",₹170,"Shade 220, 8 g",4.3
BIOTIQUE Bio Fruit Whitening Lip Balm Fruity,₹140,"Pack of: 1, 12 g",4.3
Lakmé Perfect Liquid  Foundation,₹132,"Natural coral, 27 ml",4.1
FACES CANADA Core range Compact,₹159,"Beige 03, 9 g",4.3
