Name,Price,Specifications,Rating
Factor Notes All-Purpose Notebook: 100 GSM Natural Shad...,₹199,Black,5
Factor Notes Wiro Bound: 100 GSM Natural Shade Paper A5...,₹199,Black,4.1
Classmate Pulse Regular Notebook Single Line 160 Pages,₹85,Multicolor,4.4
Classmate Pulse A4 Notebook Unruled 300 Pages,₹140,Multicolor,4.5
Classmate Pulse A4 Notebook Single Line 300 Pages,₹149,Multicolor,4.6
Classmate Longbook A4 Notebook Single Line 240 Pages,₹432,"Multicolor, Pack of 6",4.6
Classmate Pulse Book-size Notebook Unruled 300 Pages,₹118,Multicolor,4.3
LUXOR Exercise Notebook-Cubes A4 Notebook Ruled 160 Pag...,₹67,Cubes,4.2
Classmate Pulse Book-size Notebook Single Line 180 Page...,₹74,Multicolor,4.2
NAVNEET Youva Soft Bound Long Book Rainbow 21x29.7 cm A...,₹156,"Multicolor, Pack of 3",4.7
Classmate Pulse A4 Notebook Unruled 180 Pages,₹99,Multicolor,4.4
Classmate Pulse 1 Subject (240 X 180 mm) Spiral B5 Note...,₹284,"Multicolor, Pack of 4",4.2
Classmate Notebook Book-size Notebook Single Line 200 P...,₹59,Multicolor,4
Factor Notes All-Purpose Notebook: 100 GSM Natural Shad...,₹199,Green,4.8
Classmate Pulse Regular Notebook Single Line 300 Pages,₹137,Multicolor,4.4
CELEBRATION 2021 Stay Motivated Diary Giftset with Cell...,₹249,"Multicolor, Pack of 2",4.4
LUXOR Premium Exercise Notebook Regular Notebook Ruled ...,₹247,"Assorted, Pack of 3",4.2
Classmate Pulse Book-size Notebook Unruled 180 Pages,₹74,Multicolor,4.2
Classmate Longbook Regular Notebook Unruled 160 Pages,₹293,"Multicolor, Pack of 6",4.5
Factor Notes Wiro Bound: 100 GSM Natural Shade Paper A5...,₹199,Black,4.2
NAVNEET Youva Hard Bound Physics Practical Book 21.5x26...,₹85,Multicolor,4.6
Classmate Notebook Regular Notebook Single Line 172 Pag...,₹489,"Multicolor, Pack of 12",4.2
Signature 2021 Frisco Diary Giftset with Cello Origin B...,₹329,"Black, Pack of 2",4.5
Factor Notes All-Purpose Notebook: 100 GSM Natural Shad...,₹199,Beige,5
Classmate Pulse A4 Notebook Single Line 180 Pages,₹99,Multicolor,4.5
Classmate Origami 24 x 18 cm Book-size Notebook Single ...,₹190,"Multicolor, Pack of 4",4.3
NAVNEET Youva Soft Bound Long Book 17x27 cm Regular Not...,₹210,"Multicolor, Pack of 6",3.9
LUXOR Exercise Notebook-Spiral B5 Notebook Ruled 300 Pa...,₹96,Spiral,4.2
Classmate Pulse A4 Notebook Single Line 180 Pages,₹98,Multicolor,4.2
Factor Notes All-Purpose Notebook: 100 GSM Natural Shad...,₹199,Slow Steady,4.2
Classmate Origami 24 x 18 cm Book-size Notebook Unruled...,₹176,"Multicolor, Pack of 4",4.1
NAVNEET Youva Soft Bound Long Book Feminine Series 21x2...,₹159,"Multicolor, Pack of 3",4.5
doodle Unicorn Notebook with Dangler Regular Diary Rule...,₹279,Multicolor,4.4
Factor Notes Wiro Bound: 100 GSM Natural Shade Paper A5...,₹199,Multicolor,4
Classmate Pulse Book-size Notebook Unruled 160 Pages,₹79,Multicolor,4.3
Classmate Longbook Regular Notebook Single Line 172 Pag...,₹512,"Multicolor, Pack of 12",4.1
Classmate Longbook Regular Notebook Single Line 160 Pag...,₹314,"Multicolor, Pack of 6",4.5
LUXOR Premium Exercise Notebook Regular Notebook Ruled ...,₹286,"Assorted, Pack of 3",4.1
Classmate Longbook Book-size Notebook Unruled 160 Pages,₹363,"Multicolor, Pack of 6",4.6
Factor Notes All-Purpose Notebook: 100 GSM Natural Shad...,₹199,Teal Unicorn,3.7
