Name,Price,Rating
"XYTECH HANDY-4 WHEAT ,PADDY, RICE AND MAIZE MOISTURE ME...","₹6,499",3.6
SellRider Imported Best Quality Humidity Meter Clock Hi...,₹349,3.7
Otoroys Car Crescent Beeper Reversing Radar 4 Sensors L...,₹854,4
Otoroys Buzzer and Ultrasonic Reverse Parking Auto Rada...,₹664,4
BALRAMA 0-99.9% Two Pins High Quality Digital Wood Mois...,"₹1,175",4.1
Otoroys Buzzer and Ultrasonic Reverse Parking Auto Rada...,₹664,4.1
DR YONIMED Manual Room Temperature Thermometer -40 Deg ...,₹170,3.6
ORCAINSTRUMENTS OC 05 All-in-One Digital Moisture Measu...,"₹5,789",4.1
Matka HTC-1 Pinless Digital Moisture Measurer,₹299,3.9
ibotech BestPrice Mini LCD Digital Thermometer Sensor W...,₹240,3.7
"Gnexin Metal Detector Security Wand,Portable Metal Dete...",₹940,3.1
AMAZECARE HTC-2 Hygrometer Electronic Thermo Hygro with...,₹598,4
Nika HTC-1 Hygrometer Electronic Thermo Hygro with Touc...,₹299,3.9
Divinext Multifunctional HTC-2 Hygrometer Digital LCD H...,₹599,4
"Pramukh Enterprise Soil Tester, 3-in-1 Soil Moisture, p...",₹379,3.7
DIVYE Indoor Room LCD Electronic Temperature Humidity M...,₹349,3.9
"Thermomocare Thermocare 3-In-1 Solar Soil Moisture, Lig...",₹380,4
ITGood Anti Theft System For Home Office - High 105 Dec...,₹349,3.8
PEGASI Black Color Water Tank Overflow Alarm Siren with...,₹299,3.7
"PSYCHE Wireless, Anti-theft High Volume Door & Window D...",₹349,4.2
BeautyQua HTC1-BQ_HTC_1 Latest Imported Humidity Meter ...,₹315,3.3
ZATX Touch Button Activated Waterproof Wireless Doorbel...,"₹1,099",4.2
fabtec Red LED Display Car 4 Parking Sensor Reverse Bac...,₹599,3.8
Dr. Head Wall Thermometer for Room Temperature Degrees ...,₹195,3.5
Divinext GM-640 Digital Grain Moisture Meter Tester GM6...,"₹4,749",3.9
RCSP Digital Grain Moisture Meter with Measuring Probe ...,"₹3,299",3.3
Fedus Wireless Door Window Security Burglar 105 Decibel...,"₹1,199",4
PMS PX Beat Frequency Oscillation Metal Detector,"₹1,750",3.5
AASONS GMM-7002 GMM-7002 GMM-7002 Digital Grain Moistur...,"₹3,595",4.3
